公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600170,  上海建工,600170,  上海建工,  1998-06-23,600170.SS
600171,  上海贝岭,600171,  上海贝岭,  1998-09-24,600171.SS
600172,  黄河旋风,600172,  黄河旋风,  1998-11-26,600172.SS
600173,  卧龙地产,600173,  卧龙地产,  1999-04-15,600173.SS
600176,  中国巨石,600176,  中国巨石,  1999-04-22,600176.SS
600177,  雅戈尔,600177,  雅戈尔,  1998-11-19,600177.SS
600178,  东安动力,600178,  东安动力,  1998-10-14,600178.SS
600179,  *ST安通,600179,  *ST安通,  1998-11-04,600179.SS
600180,  瑞茂通,600180,  瑞茂通,  1998-07-03,600180.SS
600182,  S佳通,600182,  S佳通,  1999-05-07,600182.SS
600183,  生益科技,600183,  生益科技,  1998-10-28,600183.SS
600184,  光电股份,600184,  光电股份,  2003-11-06,600184.SS
600185,  格力地产,600185,  格力地产,  1999-06-11,600185.SS
600186,  莲花健康,600186,  莲花健康,  1998-08-25,600186.SS
600187,  国中水务,600187,  国中水务,  1998-11-11,600187.SS
600188,  兖州煤业,600188,  兖州煤业,  1998-07-01,600188.SS
600189,  泉阳泉,600189,  泉阳泉,  1998-10-07,600189.SS
600190,  锦州港,600190,  锦州港,  1999-06-09,600190.SS
600191,  华资实业,600191,  华资实业,  1998-12-10,600191.SS
600192,  长城电工,600192,  长城电工,  1998-12-24,600192.SS
600193,  ST创兴,600193,  ST创兴,  1999-05-27,600193.SS
600195,  中牧股份,600195,  中牧股份,  1999-01-07,600195.SS
600196,  复星医药,600196,  复星医药,  1998-08-07,600196.SS
600197,  伊力特,600197,  伊力特,  1999-09-16,600197.SS
600198,  大唐电信,600198,  大唐电信,  1998-10-21,600198.SS
600199,  金种子酒,600199,  金种子酒,  1998-08-12,600199.SS
600200,  江苏吴中,600200,  江苏吴中,  1999-04-01,600200.SS
600201,  生物股份,600201,  生物股份,  1999-01-15,600201.SS
600202,  哈空调,600202,  哈空调,  1999-06-03,600202.SS
600203,  福日电子,600203,  福日电子,  1999-05-14,600203.SS
600206,  有研新材,600206,  有研新材,  1999-03-19,600206.SS
600207,  安彩高科,600207,  安彩高科,  1999-07-14,600207.SS
600208,  新湖中宝,600208,  新湖中宝,  1999-06-23,600208.SS
600209,  ST罗顿,600209,  ST罗顿,  1999-03-25,600209.SS
600210,  紫江企业,600210,  紫江企业,  1999-08-24,600210.SS
600211,  西藏药业,600211,  西藏药业,  1999-07-21,600211.SS
600212,  *ST江泉,600212,  *ST江泉,  1999-08-17,600212.SS
600213,  亚星客车,600213,  亚星客车,  1999-08-31,600213.SS
600215,  *ST经开,600215,  *ST经开,  1999-09-09,600215.SS
600216,  浙江医药,600216,  浙江医药,  1999-10-21,600216.SS
600217,  中再资环,600217,  中再资环,  1999-12-16,600217.SS
600218,  全柴动力,600218,  全柴动力,  1998-12-03,600218.SS
600219,  南山铝业,600219,  南山铝业,  1999-12-23,600219.SS
600220,  江苏阳光,600220,  江苏阳光,  1999-09-27,600220.SS
600221,  *ST海航,600221,  *ST海航,  1999-11-25,600221.SS
600222,  太龙药业,600222,  太龙药业,  1999-11-05,600222.SS
600223,  鲁商发展,600223,  鲁商发展,  2000-01-13,600223.SS
600225,  *ST松江,600225,  *ST松江,  2000-01-27,600225.SS
600226,  *ST瀚叶,600226,  *ST瀚叶,  1999-11-16,600226.SS
600227,  圣济堂,600227,  圣济堂,  2000-02-21,600227.SS
600228,  ST昌九,600228,  ST昌九,  1999-01-19,600228.SS
600229,  城市传媒,600229,  城市传媒,  2000-03-09,600229.SS
600230,  沧州大化,600230,  沧州大化,  2000-04-06,600230.SS
600231,  凌钢股份,600231,  凌钢股份,  2000-05-11,600231.SS
600232,  金鹰股份,600232,  金鹰股份,  2000-06-02,600232.SS
600233,  圆通速递,600233,  圆通速递,  2000-06-08,600233.SS
600234,  ST山水,600234,  ST山水,  2000-06-15,600234.SS
600235,  民丰特纸,600235,  民丰特纸,  2000-06-15,600235.SS
600236,  桂冠电力,600236,  桂冠电力,  2000-03-23,600236.SS
600237,  铜峰电子,600237,  铜峰电子,  2000-06-09,600237.SS
600238,  ST椰岛,600238,  ST椰岛,  2000-01-20,600238.SS
600239,  云南城投,600239,  云南城投,  1999-12-02,600239.SS
600241,  *ST时万,600241,  *ST时万,  2000-11-28,600241.SS
600242,  *ST中昌,600242,  *ST中昌,  2000-12-07,600242.SS
600243,  *ST海华,600243,  *ST海华,  2000-11-20,600243.SS
600246,  万通发展,600246,  万通发展,  2000-09-22,600246.SS
600247,  *ST成城,600247,  *ST成城,  2000-11-23,600247.SS
600248,  陕西建工,600248,  陕西建工,  2000-06-22,600248.SS
600249,  两面针,600249,  两面针,  2004-01-30,600249.SS
600250,  南纺股份,600250,  南纺股份,  2001-03-06,600250.SS
600251,  冠农股份,600251,  冠农股份,  2003-06-09,600251.SS
600252,  中恒集团,600252,  中恒集团,  2000-11-30,600252.SS
600255,  *ST鑫科,600255,  *ST鑫科,  2000-11-22,600255.SS
