板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,Symbol
主板,重庆长安汽车股份有限公司,Chongqing Changan Automobile Company Limited,重庆市江北区建新东路260号,000625,长安汽车,1997-06-10,"4,461,410,032","3,900,643,469",200625,长  安Ｂ,1996-11-08,"901,986,142","901,986,142",西南,重庆,重庆市,C 制造业,www.changan.com.cn,000625.SZ
主板,远大产业控股股份有限公司,"Grand Industrial Holding Co., Ltd",江苏省连云港市高新技术产业开发区高新八路4号,000626,远大控股,1996-11-28,"542,874,902","463,946,400",,,,0,0,华东,江苏,连云港市,F 批发零售,www.grand-holding.cn,000626.SZ
主板,天茂实业集团股份有限公司,"Tianmao Industrial Group Co., Ltd",湖北省荆门市漳河新区天山路1号（国华汇金中心）1幢2楼,000627,天茂集团,1996-11-12,"4,940,629,165","4,552,504,165",,,,0,0,华中,湖北,荆门市,J 金融业,www.tianmaogroup.net,000627.SZ
主板,成都高新发展股份有限公司,"CHENGDU Hi-Tech DEVELOPMENT GR0UP CO.,LTD",四川省成都市高新技术产业开发区,000628,高新发展,1996-11-18,"352,280,000","187,980,340",,,,0,0,西南,四川,成都市,E 建筑业,www.cdgxfz.com,000628.SZ
主板,攀钢集团钒钛资源股份有限公司,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",四川省攀枝花市弄弄坪,000629,攀钢钒钛,1996-11-15,"8,589,746,202","7,464,393,822",,,,0,0,西南,四川,攀枝花市,C 制造业,www.pgvt.cn,000629.SZ
主板,铜陵有色金属集团股份有限公司,"Tongling Nonferrous Metals Group Co.,Ltd.",安徽省铜陵市长江西路,000630,铜陵有色,1996-11-20,"10,526,533,308","10,526,400,476",,,,0,0,华东,安徽,铜陵市,C 制造业,www.tlys.cn,000630.SZ
主板,顺发恒业股份公司,SHUNFA HENGYE Corporation,吉林省长春市前进大街3055号南湖新村办公室201室,000631,顺发恒业,1996-11-22,"2,432,519,168","2,432,519,168",,,,0,0,东北,吉林,长春市,K 房地产,www.sfhy.cn,000631.SZ
主板,福建三木集团股份有限公司,"FUJIAN SANMU GROUP CO.,LTD",福建省福州市开发区君竹路162号,000632,三木集团,1996-11-21,"465,519,570","465,481,606",,,,0,0,华东,福建,福州市,F 批发零售,www.san-mu.com,000632.SZ
主板,新疆合金投资股份有限公司,"XINJIANG HEJIN HOLDING CO.,LTD",新疆维吾尔自治区和田市北京工业园区杭州大道2号电子产业园102室,000633,合金投资,1996-11-12,"385,106,373","385,104,123",,,,0,0,西北,新疆,和田地区,C 制造业,www.xjhjtz.net,000633.SZ
主板,宁夏英力特化工股份有限公司,"NINGXIA YINGLITE CHEMICALS CO.,LTD",宁夏回族自治区石嘴山市惠农区钢电路,000635,英 力 特,1996-11-20,"303,087,602","303,087,602",,,,0,0,西北,宁夏,石嘴山市,C 制造业,www.yinglitechem.com,000635.SZ
主板,广东风华高新科技股份有限公司,"GUANDDONG FENGHUA ADVANCED TECHNOLOGY (HOLDING) CO., LTD",广东省肇庆市风华路18号风华电子工业城,000636,风华高科,1996-11-29,"895,233,111","895,233,111",,,,0,0,华南,广东,肇庆市,C 制造业,www.fenghua-advanced.com,000636.SZ
主板,茂名石化实华股份有限公司,"MAOMING PETRO-CHEMICAL SHIHUA CO.,LTD",广东省茂名市官渡路162号,000637,茂化实华,1996-11-14,"519,875,356","366,494,967",,,,0,0,华南,广东,茂名市,C 制造业,www.mhsh0637.com.cn,000637.SZ
主板,万方城镇投资发展股份有限公司,"Vanfund Urban Investment＆Development Co.,Ltd.",吉林省白山市江源区江源大街30号,000638,万方发展,1996-11-26,"309,400,000","308,159,050",,,,0,0,东北,吉林,白山市,I 信息技术,www.vanfund.cn,000638.SZ
主板,西王食品股份有限公司,"Xiwang Foodstuffs Co.,Ltd.",山东省滨州市邹平县西王工业园,000639,西王食品,1996-11-26,"1,079,428,095","1,079,426,772",,,,0,0,华东,山东,滨州市,C 制造业,www.xwsp.cc,000639.SZ
主板,仁和药业股份有限公司,"RENHE PHARMACY CO.,LTD",江西省南昌市高新开发区京东北大道399号,000650,仁和药业,1996-12-10,"1,399,938,234","1,180,393,145",,,,0,0,华东,江西,南昌市,C 制造业,www.renheyaoye.com,000650.SZ
主板,珠海格力电器股份有限公司,"GREE ELECTRIC APPLIANCES,INC.OF ZHUHAI CO.,LTD",广东省珠海市前山金鸡西路,000651,格力电器,1996-11-18,"6,015,730,878","5,970,279,103",,,,0,0,华南,广东,珠海市,C 制造业,www.gree.com.cn,000651.SZ
主板,天津泰达股份有限公司,"Tianjin TEDA CO., Ltd.",天津市开发区第三大街16号,000652,泰达股份,1996-11-28,"1,475,573,852","1,474,340,839",,,,0,0,华北,天津,天津市,F 批发零售,www.tedastock.com,000652.SZ
主板,山东金岭矿业股份有限公司,"SHANDONG JINLING MINING CO.,LTD",山东省淄博市张店区中埠镇,000655,金岭矿业,1996-11-28,"595,340,230","595,340,230",,,,0,0,华东,山东,淄博市,B 采矿业,www.sdjlky.com,000655.SZ
